kfa_code,name,generic_name,composition,manufacturer,formularium,form_sediaan,golongan,unit_besar,unit_kecil,konversi,stock,min_stock,price,expiry_date,batch_number,description,is_active
,"Acyclovir 400mg",Acyclovir,,"SAMPHARINDO PERDANA",-,,"OBAT KERAS",,,,200,,,,DG3541,,1
,"Acyclovir 400mg Tab Inhealth",Acyclovir,,,-,,,,,,0,,,,,,1
,"Acyclovir Salep Kulit",Acyclovir,,,-,,,,,,1,,,,,,1
,"Akilen Eye Drop",,OFLOXACIN,SANBE,-,BOTOL,"OBAT KERAS",,,,14,,,2027-11-27,FL3559,,1
,"Alegysal 5 Ml",,,,-,,,,,,0,,,,,,1
,"Alletrol Compositum Eye Drop 5 Ml",,"DEXAMETHASONE, NEOMYCIN SULFATE, POLYMYXIN SULFATE",ERELA,-,BOTOL,"OBAT KERAS",,,,35,,,2027-10-10,D.2060037,,1
,"Alletrol Compositum Eye Oint",,"DEXAMETHASONE, NEOMYCIN SULFATE, POLYMYXIN SULFATE",ERELA,-,SALEP,"OBAT KERAS",,,,10,,,2027-07-07,0.0860035,,1
,"Alphagan P 5ml",,,,-,,,,,,0,,,,,,1
,"Alprazolam 0.5 mg",,,,-,,,,,,0,,,,,,1
,"Amaryl 2mg Tab",,,,-,,,,,,0,,,,,,1
,"Ambroxol Sirup",,,,-,,,,,,1,,,,,,1
,"Amikacin 250mg/ml Injeksi",,,,-,,,,,,0,,,,,,1
,aminophilin,,"AMINOPHYLINE ANHIDRAT",ETHICA,-,AMPUL,"OBAT KERAS",,,,2,,,2026-10-10,E23K0222A,,1
,"Amlodipin 10 mg",Amlodipin,,"SAMPHARINDO PERDANA",-,,"OBAT KERAS",,,,200,,,,EC1711,,1
,"Amlodipin 5 mg",Amlodipin,,"SAMPHARINDO PERDANA",-,,"OBAT KERAS",,,,100,,,,EC3971,,1
,"AMOXICILIN 500 MG",Amoxicilin,,NOVAPHARIN,-,,"OBAT KERAS",,,,100,,,,2602-02-115,,1
,"Aprovel Tablet",,,,-,,,,,,0,,,,,,1
,"Aquades 25 ml",,,,-,,,,,,4,,,,,,1
,"Asam Mefenamat 500mg","Asam mefenamat",,"AFI FARMA",-,KAPLET,"OBAT KERAS",,,,500,,,,A51601,,1
,"Asam Mefenamat 500mg Inhealth","Asam mefenamat",,,-,,,,,,80,,,,,,1
,"Asam Mefenamat 500 Mg Tab","Asam mefenamat",,,-,,,,,,0,,,,,,1
,"Asam Tranexamat 500 mg tablet","Asam tranexamat",,,-,,,,,,0,,,,,,1
,"Asam Tranexamid Inj","Asam tranexamat","ASAM TRANEXAMAT",BERNOFARM,-,AMPUL,"OBAT KERAS",,,,22,,,2030-04-04,PIE10254,,1
