code,category,description,is_eye_related,is_favorite
08.09,08,INSISI ABSES PALPEBRA,t,f
08.11,08,BIOPSY F EYELID / eksisi,t,f
08.20,08,XANTELASMA / EKS. GRANULOMA,t,f
08.21,08,CHALAZION,t,f
08.22,08,VERUCA VULGARIS/ LITHIASIS RINGAN/ MILLIA/ KISTA RINGAN/ INS. KITSA PALPEBRA/ PUNCTURE/HORDEOLUM,t,f
08.23,08,OMA EYELID / EKS.ATEROMA/LITHIASIS / LITHIASIS SEDANG / EKS NEVUS / EKS TUMOR PALPEBRA,t,f
08.24,08,EKS NEVUS / EKS TUMOR PALPEBRA,t,f
08.44,08,KOREKSI ENTROPION / BLEPHAROPLASTY,t,f
08.52,08,TARSORRHAPY,t,f
08.81,08,HECTING PALPEBRA/PARTIAL THIKNES,t,f
08.83,08,HECTING PALPEBRA/PARTIAL THIKNES,t,f
08.84,08,HECTING PALPEBRA/FULL THIKNESS,t,f
08.93,08,EPILASI BULU MATA,t,f
09.42,09,ANEL TEST LACRIMAL PUNCTUM /PROBING,t,f
09.51,09,EKS./INC. KISTA PUNCTUM LACRIMAL,t,f
09.73,09,REPAIR CANACULITIS LACRIMAL,t,f
10.0,10,INSISI ABSES CONJUNGTIVA / EKSTIRPASI TUMOR CONJUNGTIVA,t,f
10.1,10,KISTA CONJUNGTIVA,t,f
10.21,10,BIOPSY OF CONJUCTIVA,t,f
10.31,10,PUNCTURE LITHIASIS / NEVUS CONJUNGTIVA / PAPILOMA CONJUNGTIVA,t,f
10.44,10,REPAIR CONJUNCTIVA WITH GRAFT / FLAP,t,f
10.32,10,LITHIASIS CONJUNGTIVA,t,f
10.6,10,RUPTUR KONJUNGTIVA /HECTING CONJUNGTIVA,t,f
10.91,10,INJEKSI SUBTENON (KASUS UVEITIS),t,f
10.5,10,LYSIS SYMBLEPHARON,t,f
11.39,11,EKSISI PTERYGIUM,t,f
11.32,11,EXCISION PTERIGIUM WITH GRAFT,t,f
11.1,11,CORPUS ALIENUM(INSISI)op,t,f
11.21,11,SCREPING KORNEA,t,f
11.49,11,EXT. TUMOR BOWEN,t,f
11.51,11,HECTING CORNEA /SUTURE LASERASI KORNEA,t,f
11.53,11,REPAIR CORNEA LASERASI WITH FLAP,t,f
11.59,11,BANDAGE CONTACT LENS,t,f
12.14,12,LPI,t,f
12.54,12,TRABEKULOTOMI,t,f
12.65,12,IRIDECTOMY,t,f
12.64,12,TRABEKULEKTOMI,t,f
12.66,12,SCLERAL FIKSASI,t,f
11.43,11,CRYOPEXY,t,f
12.73,12,TCP (Trans-Scleral Cyclo Photocoagulation),t,f
12.81,12,HECTING SKLERA,t,f
12.89,12,EKSPLORASI SKLERA,t,f
12.91,12,PARACINTESA / I/A ASPIRASI IRIGASI (DIAGNOSA HYPHEMA),t,f
12.92,12,INJEKSI AIR BUBBLE (ANTERIOR) /COA,t,f
12.97,12,REPOSISI IRIS,t,f
13.19,13,ICCE / SICS,t,f
13.3,13,ASPIRASI IRIGASI (I/A) (BERHUBUNGAN DENGAN LENSA),t,f
13.41,13,PHACO ( Top up ),t,f
13.51,13,ECCE/EKSTRAKSI IOL (EKSTRACAPSULAR),t,f
13.59,13,ECCE/EKSTRAKSI IOL (EKSTRACAPSULAR),t,f
13.64,13,YAG LASER,t,f
13.66,13,MEMBRANEKTOMY ANTERIOR,t,f
13.72,13,SECONDARY IMPLANT IOL / EXCHANGE IOL,t,f
13.8,13,EXPLANT IOL / EXCHANGE IOL,t,f
13.90,13,REPOSISI IOL,t,f
14.24,14,LASER RETINA (TUNGGAL),t,f
14.34,14,LASER RETINA (H / BARRAGE),t,f
14.71,14,VITRECTOMY ANTERIOR,t,f
14.72,14,SOR,t,f
14.74,14,VITRECTOMY (ygmenggunakanalatviterktomi) ( TOP UP ),t,f
14.75,14,INJEKSI SILICON OIL (POSTERIOR),t,f
14.79,14,INJEKSI ANTI VEGF ( AVASTIN ),t,f
14.54,14,ENDOLASER RETINA,t,f
14.9,14,MEMBRAN PEELING,t,f
16.21,16,FUNDUSKOPI INDIRECT,t,f
16.39,16,EVISCERATION OF EYEBALL,t,f
16.49,16,ENUCLEATION,t,f
15.11,15,"REPAIR STRABISMUS ( RECESS , RESEC )",t,f
15.13,15,"REPAIR STRABISMUS ( RECESS , RESEC )",t,f
86.22,86,DEBRIDEMENT,t,f
88.97,88,MRI ( TOP UP ),t,f
88.91,88,MRI ( TOP UP ),t,f
90.2,90,PA,t,f
87.03,87,CT SCAN,t,f
95.05,95,HUMPREY,t,f
95.11,95,FOTOFUNDUS,t,f
95.12,95,FLOURESCEIN,t,f
95.13,95,USG,t,f
95.16,95,OCT,t,f
96.51,96,IRIGASI KORNEA/SPOOLING/DRAINAGE PUSS,t,f
97.38,97,AFF HECTING,t,f
98.21,98,IRIGASI CORPAL(PENGANGKATAN BENDA ASING/CORPAL PALPEBRA/ PENGANGKATAN SISA KORTEKS/ EPINUKLEOUS),t,f
98.22,98,MEMBRANEKROMY CONJUNGTIVA,t,f
99.18,99,MANITOL,t,f
99.21,99,INJEKSI VANCOMICIN / CEPTADIZIME,t,f
99.23,99,INJEKSI STEROID,t,f
