med_name,status,saran_cand1,saran_cand2,saran_cand3
"Aquades 25 ml",NO_MATCH,,,
Azarga,NO_MATCH,,,
Azitromycin,NO_MATCH,,,
"Azopt 5ml",NO_MATCH,,,
"Captropil 25 mg",NO_MATCH,,,
"Captropil 50 mg",NO_MATCH,,,
"Cendo Catarlent Strip Minidose",MATCH,"93023682 | Citicoline 1000 mg/10 mL Cairan Obat Dalam (CENDO CHOLINE LS) (Cairan Obat Dalam)","93023707 | Citicoline 1000 mg Tablet (CENDO CHOLINE EXTRA) (Tablet)","93023706 | Citicoline 500 mg Tablet Salut Selaput (CENDO CHOLINE) (Tablet Salut Selaput)"
"Cendo Edta Drop",MATCH,"93010800 | Metamizole Sodium 500 mg / Thiamine HCl 50 mg / Pyridoxine HCl 100 mg / Cyanocobalamine 100 mcg Tablet (ETANEURAL) (Tablet)","93010404 | Sulfametoksazol 400 mg / Trimetoprim 80 mg Tablet (ETAMOXUL) (Tablet)","93009954 | Cetirizine Hydrochloride 5 mg/5 mL Sirup (ETARIZINE) (Sirup)"
"Cendo Eyefresh Drops 5cc",MATCH,"93023682 | Citicoline 1000 mg/10 mL Cairan Obat Dalam (CENDO CHOLINE LS) (Cairan Obat Dalam)","93023707 | Citicoline 1000 mg Tablet (CENDO CHOLINE EXTRA) (Tablet)","93023706 | Citicoline 500 mg Tablet Salut Selaput (CENDO CHOLINE) (Tablet Salut Selaput)"
"Cendo Eyefresh Strip Minidose",MATCH,"93023679 | Betacarotene 5 mg / Retinyl Acetate 1820 IU / Dl-Alpha Tocopheryl Acetate 40 mg Tablet Salut Selaput (CENDOVITAL, PT CENDO) (Tablet Salut Selaput)","93023706 | Citicoline 500 mg Tablet Salut Selaput (CENDO CHOLINE) (Tablet Salut Selaput)","93023707 | Citicoline 1000 mg Tablet (CENDO CHOLINE EXTRA) (Tablet)"
"Cendo Glopac Drops",MATCH,"93023679 | Betacarotene 5 mg / Retinyl Acetate 1820 IU / Dl-Alpha Tocopheryl Acetate 40 mg Tablet Salut Selaput (CENDOVITAL, PT CENDO) (Tablet Salut Selaput)","93023706 | Citicoline 500 mg Tablet Salut Selaput (CENDO CHOLINE) (Tablet Salut Selaput)","93023707 | Citicoline 1000 mg Tablet (CENDO CHOLINE EXTRA) (Tablet)"
"Cendo Hervis Oint",MATCH,"93023679 | Betacarotene 5 mg / Retinyl Acetate 1820 IU / Dl-Alpha Tocopheryl Acetate 40 mg Tablet Salut Selaput (CENDOVITAL, PT CENDO) (Tablet Salut Selaput)","93023706 | Citicoline 500 mg Tablet Salut Selaput (CENDO CHOLINE) (Tablet Salut Selaput)","93023707 | Citicoline 1000 mg Tablet (CENDO CHOLINE EXTRA) (Tablet)"
"Cendo Natacen Strip Minidose",MATCH,"93023679 | Betacarotene 5 mg / Retinyl Acetate 1820 IU / Dl-Alpha Tocopheryl Acetate 40 mg Tablet Salut Selaput (CENDOVITAL, PT CENDO) (Tablet Salut Selaput)","93023706 | Citicoline 500 mg Tablet Salut Selaput (CENDO CHOLINE) (Tablet Salut Selaput)","93023707 | Citicoline 1000 mg Tablet (CENDO CHOLINE EXTRA) (Tablet)"
"Cendo Noncort Eye Drop",MATCH,"93023679 | Betacarotene 5 mg / Retinyl Acetate 1820 IU / Dl-Alpha Tocopheryl Acetate 40 mg Tablet Salut Selaput (CENDOVITAL, PT CENDO) (Tablet Salut Selaput)","93023706 | Citicoline 500 mg Tablet Salut Selaput (CENDO CHOLINE) (Tablet Salut Selaput)","93023707 | Citicoline 1000 mg Tablet (CENDO CHOLINE EXTRA) (Tablet)"
"Cendo Noncort Strip Minidose",MATCH,"93023682 | Citicoline 1000 mg/10 mL Cairan Obat Dalam (CENDO CHOLINE LS) (Cairan Obat Dalam)","93023707 | Citicoline 1000 mg Tablet (CENDO CHOLINE EXTRA) (Tablet)","93023706 | Citicoline 500 mg Tablet Salut Selaput (CENDO CHOLINE) (Tablet Salut Selaput)"
"Cendo Oculenta Oint",MATCH,"93023682 | Citicoline 1000 mg/10 mL Cairan Obat Dalam (CENDO CHOLINE LS) (Cairan Obat Dalam)","93023707 | Citicoline 1000 mg Tablet (CENDO CHOLINE EXTRA) (Tablet)","93023706 | Citicoline 500 mg Tablet Salut Selaput (CENDO CHOLINE) (Tablet Salut Selaput)"
