                    List of relations
 Schema |            Name             | Type  |  Owner   
--------+-----------------------------+-------+----------
 public | active_storage_attachments  | table | postgres
 public | active_storage_blobs        | table | postgres
 public | administrators              | table | postgres
 public | alatfinger_m                | table | postgres
 public | alatmedis_m                 | table | postgres
 public | ambiljenazah_t              | table | postgres
 public | anamesadiet_t               | table | postgres
 public | anamnesa_t                  | table | postgres
 public | anastesi_m                  | table | postgres
 public | antrian_t                   | table | postgres
 public | apachescore_m               | table | postgres
 public | apgarscore_t                | table | postgres
 public | ar_internal_metadata        | table | postgres
 public | asalaset_m                  | table | postgres
 public | asalrujukan_m               | table | postgres
 public | assignments_k               | table | postgres
 public | asuhankeperawatan_t         | table | postgres
 public | bahandiet_m                 | table | postgres
 public | bahanmakanan_m              | table | postgres
 public | bahanmenudiet_m             | table | postgres
 public | bahanobat_m                 | table | postgres
 public | bank_m                      | table | postgres
 public | bankrek_m                   | table | postgres
 public | barang_m                    | table | postgres
 public | batalbayarsupplier_t        | table | postgres
 public | batalkeluarumum_t           | table | postgres
 public | batalmutasibrg_t            | table | postgres
 public | batalpakaiambulans_t        | table | postgres
 public | bayarangsuranpelayanan_t    | table | postgres
 public | bayarkesupplier_t           | table | postgres
 public | bayaruangmuka_t             | table | postgres
 public | belibrgdetail_t             | table | postgres
 public | besaranjasadet_t            | table | postgres
 public | bidang_m                    | table | postgres
 public | bodymassindex_m             | table | postgres
 public | book_schedules              | table | postgres
 public | bookingkamar_t              | table | postgres
 public | buatjanjipoli_t             | table | postgres
 public | carabayar_m                 | table | postgres
 public | caramasuk_m                 | table | postgres
 public | carapembrek_m               | table | postgres
 public | chat                        | table | postgres
 public | closingkasir_t              | table | postgres
 public | codigos_area                | table | postgres
 public | copyresep_r                 | table | postgres
 public | customers                   | table | postgres
 public | daemons                     | table | postgres
 public | daftartindakan_m            | table | postgres
 public | depo_rules                  | table | postgres
 public | detailhasilpemeriksaanlab_t | table | postgres
 public | detailnapza_m               | table | postgres
 public | detailoperasi_m             | table | postgres
 public | diagnosa_m                  | table | postgres
 public | diagnosaicdix_m             | table | postgres
 public | diagnosakeperawatan_m       | table | postgres
 public | diagnosaobat_m              | table | postgres
 public | diagnosatindakan_m          | table | postgres
 public | diet_m                      | table | postgres
 public | dietpasien_t                | table | postgres
 public | dokfilerm_r                 | table | postgres
 public | dokrekammedis_m             | table | postgres
 public | dtd_m                       | table | postgres
 public | dtddiagnosa_m               | table | postgres
 public | employees                   | table | postgres
 public | esselon_m                   | table | postgres
 public | fakturdetail_t              | table | postgres
 public | fakturpembelian_t           | table | postgres
 public | fasilitas_s                 | table | postgres
 public | fasilitasgalery_s           | table | postgres
 public | formstokopname_r            | table | postgres
 public | formuliropname_r            | table | postgres
 public | gammu                       | table | postgres
 public | gcs_m                       | table | postgres
 public | gelarbelakang_m             | table | postgres
 public | generik_m                   | table | postgres
 public | golbahanmakanan_m           | table | postgres
