                                      List of relations
 Schema |                              Name                               | Type  |  Owner   
--------+-----------------------------------------------------------------+-------+----------
 public | antrian                                                         | table | postgres
 public | antrian_farmasi                                                 | table | postgres
 public | antrian_kasir                                                   | table | postgres
 public | antrian_poli                                                    | table | postgres
 public | antrian_ro                                                      | table | postgres
 public | asuransi                                                        | table | postgres
 public | bedah                                                           | table | postgres
 public | biodata                                                         | table | postgres
 public | buku_tarif                                                      | table | postgres
 public | carabayar                                                       | table | postgres
 public | carabayar_kamar                                                 | table | postgres
 public | carabayar_tindakan_bedah                                        | table | postgres
 public | carabayar_tindakan_non_bedah                                    | table | postgres
 public | carabayar_tindakan_rawat_jalan                                  | table | postgres
 public | catatan_operasi_katarak                                         | table | postgres
 public | checklist_kesiapan_bedah                                        | table | postgres
 public | cppt                                                            | table | postgres
 public | delay_antrian                                                   | table | postgres
 public | display_antrian                                                 | table | postgres
 public | dokumen_asesmen_keperawatan_rawat_inap                          | table | postgres
 public | dokumen_asuhan_gizi                                             | table | postgres
 public | dokumen_balance_cairan_harian                                   | table | postgres
 public | dokumen_catatan_keperawatan                                     | table | postgres
 public | dokumen_catatan_operasi                                         | table | postgres
 public | dokumen_ceklist_kesiapan_bedah                                  | table | postgres
 public | dokumen_checklist_keselamatan_pasien_operasi                    | table | postgres
 public | dokumen_cppt_rawat_inap                                         | table | postgres
 public | dokumen_dietitian_pasien_baru                                   | table | postgres
 public | dokumen_evaluasi_pra_anesthesi                                  | table | postgres
 public | dokumen_form_laser_barrage                                      | table | postgres
 public | dokumen_form_laser_fokal                                        | table | postgres
 public | dokumen_form_transfer_pasien                                    | table | postgres
 public | dokumen_kronologis_pasien                                       | table | postgres
 public | dokumen_laporan_eksisi_chalazion                                | table | postgres
 public | dokumen_laporan_eksisi_palpebra                                 | table | postgres
 public | dokumen_laporan_operasi_pterygium                               | table | postgres
 public | dokumen_laporan_operasi_trabekulektomi                          | table | postgres
 public | dokumen_laporan_operasi_vitreo_retina                           | table | postgres
 public | dokumen_laporan_pembedahan                                      | table | postgres
 public | dokumen_monitoring_efek_samping_obat                            | table | postgres
 public | dokumen_pasien                                                  | table | postgres
 public | dokumen_pelaksanaan_pencegahan_pasien_jatuh                     | table | postgres
 public | dokumen_penilaian_pra_anestesi_sedasi                           | table | postgres
 public | dokumen_persetujuan_penolakan_tindakan_dokter                   | table | postgres
 public | dokumen_persetujuan_umum                                        | table | postgres
 public | dokumen_pulang_atas_permintaan_sendiri                          | table | postgres
 public | dokumen_resume_medis_rawat_inap                                 | table | postgres
 public | dokumen_resume_medis_rawat_jalan                                | table | postgres
 public | dokumen_resume_perawatan_rawat_jalan                            | table | postgres
 public | dokumen_status_anestesi                                         | table | postgres
 public | dokumen_surat_balasan_konsul                                    | table | postgres
 public | dokumen_surat_konsul                                            | table | postgres
 public | dokumen_surat_kontrol                                           | table | postgres
 public | dokumen_surat_pengantar_rawat_inap                              | table | postgres
 public | dokumen_surat_penolakan_rujukan                                 | table | postgres
 public | dokumen_surat_pernyataan_batal_operasi                          | table | postgres
