                                                     Table "public.registrasi"
         Column          |            Type             | Collation | Nullable |                      Default                       
-------------------------+-----------------------------+-----------+----------+----------------------------------------------------
 id                      | integer                     |           | not null | nextval('registrasi_id_seq'::regclass)
 uuid                    | character varying(50)       |           | not null | 
 kode                    | character varying(50)       |           |          | '-'::character varying
 nomor                   | character varying(50)       |           |          | '-'::character varying
 jenis                   | character varying(100)      |           |          | '-'::character varying
 pasien_uuid             | character varying(50)       |           | not null | 
 rekam_medis             | character varying(30)       |           | not null | '-'::character varying
 nama_pasien             | character varying(100)      |           | not null | '-'::character varying
 tanggal_lahir           | date                        |           |          | '1000-01-01'::date
 jenis_identitas         | character varying(30)       |           |          | '-'::character varying
 no_identitas            | character varying(30)       |           |          | '-'::character varying
 jenis_kelamin           | character varying(30)       |           |          | '-'::character varying
 no_handphone            | character varying(35)       |           |          | '-'::character varying
 agama                   | character varying(50)       |           |          | '-'::character varying
 photos                  | character varying(100)      |           |          | '-'::character varying
 pengguna_uuid           | character varying(50)       |           |          | '-'::character varying
 nama_dokter             | character varying(75)       |           |          | '-'::character varying
 pengguna_umum_uuid      | character varying(50)       |           |          | '-'::character varying
 nama_dokter_umum        | character varying(75)       |           |          | '-'::character varying
 tanggal                 | date                        |           |          | '1000-01-01'::date
 waktu                   | character varying(10)       |           |          | '00:00'::character varying
 no_pendaftaran          | character varying(50)       |           |          | '-'::character varying
 cara_masuk              | character varying(100)      |           |          | '-'::character varying
 rujukan                 | character varying(50)       |           |          | '-'::character varying
 carabayar_uuid          | character varying(50)       |           |          | '-'::character varying
 carabayar_nama          | character varying(100)      |           |          | '-'::character varying
 asuransi_uuid           | character varying(50)       |           |          | '-'::character varying
 nama_asuransi           | character varying(100)      |           |          | '-'::character varying
 igd_jam_daftar          | character varying(15)       |           |          | '-'::character varying
 igd_jam_inputdata       | character varying(15)       |           |          | '-'::character varying
 igd_jam_updatedata      | character varying(15)       |           |          | '-'::character varying
 igd_jam_selesai         | character varying(15)       |           |          | '-'::character varying
 pemeriksaan_ro          | character varying(25)       |           |          | '-'::character varying
 ro_jam_periksa          | character varying(15)       |           |          | '-'::character varying
 ro_jam_selesai          | character varying(15)       |           |          | '-'::character varying
 ro_jam_update           | character varying(15)       |           |          | '-'::character varying
 pemeriksaan_dokter      | character varying(25)       |           |          | '-'::character varying
 dokter_jam_periksa      | character varying(15)       |           |          | '-'::character varying
 dokter_jam_selesai      | character varying(15)       |           |          | '-'::character varying
