no,nama,kategori,harga,keterangan,status
,Aff Bandage Lensa,Tindakan,143000,,
,Aff Jahit Cornea,Tindakan,1250000,,
,Aff Jahit Mayor,Tindakan,877500,,
,Aff Jahit Minor,Tindakan,487500,,
,Aff Jahit Palpebra Mayor,Tindakan,900000,,
,Aff Jahit Palpebra Minor,Tindakan,630000,,
,Aspirasi Irigasi Mata,Tindakan,3265881,,
,Aspirasi Irigasi + IOL,Tindakan,5369413,,
,Aspirasi Irrigation + Primary Posterior Capsulotomy + Vitrectomy Anterior +/- IOL,Tindakan,9393272,,
,Aspirasi Massa Lensa,Tindakan,8450000,,
,Bandage Lensa,Tindakan,455000,,
,Biopsi Kelopak + Konjungtiva,Tindakan,2785915,,
,Blefaroplasti 1 Mata,Tindakan,4500000,,
,Blefaroplasti Satu Kelopak/Lebih,Tindakan,5859858,,
,Cornea Scrapping + Debridement,Tindakan,1950000,,
,Cryopexy,Tindakan,5850000,,
,DCR,Tindakan,6305176,,
,Debridement + Amnion Graft,Tindakan,2300000,,
,Eksenterasi,Tindakan,9000000,,
,Eksisi Atheroma,Tindakan,3835000,,
,Eksisi Biopsi,Tindakan,3835000,,
,Eksisi Granuloma Palpebra,Tindakan,3835000,,
,Eksisi Granuloma Pyogenikum (Konjungtiva),Tindakan,3510000,,
,Eksisi Mayor,Tindakan,7406750,,
,Eksisi Milioma,Tindakan,1950000,,
,Eksisi Minor,Tindakan,4650750,,
,Eksisi Nevus Konjungtiva,Tindakan,3737500,,
,Eksisi Nevus Palpebra,Tindakan,3997500,,
,Eksisi Papiloma,Tindakan,4127500,,
,Eksisi Pterygium,Tindakan,2678571,,
,Eksisi Pterygium + Graft,Tindakan,4005651,,
,Eksisi Pterygium + Graft + MMC,Tindakan,4500000,,
,Eksisi Pterygium Duplex + Graft,Tindakan,5000000,,
,Eksisi Pterygium Duplex + Graft + MMC,Tindakan,6000000,,
,Eksisi Tumor,Tindakan,6110000,,
,Eksisi Verucae Palpebra,Tindakan,3867500,,
,Eksplantasi IOL / Exchange IOL,Tindakan,6200000,,
,Ekstirpasi + Cauterisasi Veruka Vulgaris/ Naevus Sederhana,Tindakan,2059418,,
,Ekstirpasi Corpus Alienum Intra Orbita,Tindakan,6579835,,
,Ekstirpasi Granuloma,Tindakan,2045774,,
,Ekstirpasi Kista,Tindakan,3640000,,
,Ekstirpasi Pinguekula,Tindakan,2051884,,
,Ekstirpasi Tumor + Eksisi Luas + Rekonstruksi,Tindakan,7616611,,
,Ekstirpasi Tumor Jinak Palpebra Luas + Rekonstruksi,Tindakan,5885215,,
,Ekstirpasi Tumor Kecil,Tindakan,2045969,,
,Ekstirpasi Tumor Orbita melalui Anterior,Tindakan,5917342,,
,Ekstirpasi Tumor Palpebrae,Tindakan,3591350,,
,Ekstirpasi Veruka / Naevus Luas,Tindakan,2902765,,
,Ekstirpasi Xanthelasma 1 Mata,Tindakan,4600000,,
,Ekstra Capsular Cataract Extraction,Tindakan,6983408,,
,Ekstra Capsular Cataract Extraction + IOL,Tindakan,7896520,,
,Ekstra Capsular Cataract Extraction + IOL + Vitrectomy Anterior,Tindakan,8900000,,
,Ekstra Capsular Cataract Extraction + IOL + Vitrectomy Anterior + Trabeculectomy,Tindakan,14500000,,
,Ekstraksi Corpus Alienum di Ruang Operasi,Tindakan,1900000,,
,Ekstraksi Corpus Alienum Minor,Tindakan,250000,,
,Ektraksi Lithiasis / Concreation,Tindakan,1056250,,
,Enucleasi,Tindakan,7540000,,
,Enucleasi + CLK,Tindakan,11500000,,
,Epilasi Bulu Mata,Tindakan,156000,,
,Evakuasi Minyak Silicon,Tindakan,6213285,,
,Eversi Kelopak Mata + Tindakan Sederhana,Tindakan,130000,,
,Eviscerasi,Tindakan,5169010,,
,Eviscerasi + CLK,Tindakan,9490000,,
,Eye Wound Toilet,Tindakan,325000,,
,Fisioterapi Mata,Tindakan,65000,,
,Flap Konjungtiva,Tindakan,5330000,,
,Flap Konjungtiva + Graft,Tindakan,6110000,,
,Implantasi Protesa Bola Mata,Tindakan,500000,,
,Implantasi Secondary IOL,Tindakan,6200000,,
,Injeksi Intravitreal Anti VEGF,Tindakan,2142857,,
